add_model,workspace_dir,conversation_idx,memory_count,conversation_score,arithmetic_mean_score,fact_sourceability,fact_factual_correctness,fact_temporal_correctness,fact_atomicity,fact_nonredundancy,fact_coverage,fact_conciseness,fact_structural_consistency
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,0,228,0.8964,0.8813,0.9,0.95,0.9,0.85,0.8,0.9,0.85,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,1,173,0.8786,0.85,0.9,1.0,0.8,0.8,0.7,0.9,0.8,0.9
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,2,336,0.7929,0.7625,0.8,0.9,0.8,0.7,0.6,0.8,0.7,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,3,321,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,4,364,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,5,282,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,6,390,0.9071,0.8875,0.85,1.0,1.0,0.85,0.8,0.9,0.85,0.85
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,7,326,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,8,233,0.8643,0.85,0.85,0.95,0.9,0.8,0.85,0.8,0.85,0.8
deepseek,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_deepseek,9,309,0.8357,0.8125,0.9,0.9,0.8,0.8,0.7,0.8,0.8,0.8
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,149,0.8786,0.8625,0.85,0.95,0.9,0.8,0.85,0.9,0.85,0.8
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,103,0.8714,0.8625,0.85,0.95,0.9,0.8,0.85,0.8,0.85,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,302,0.8714,0.85,0.85,0.95,0.9,0.75,0.8,0.9,0.8,0.85
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,201,0.8607,0.8437,0.85,0.9,0.95,0.8,0.75,0.85,0.8,0.85
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,4,219,0.8929,0.875,0.9,0.95,0.9,0.85,0.8,0.9,0.85,0.85
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,5,186,0.8786,0.8625,0.85,0.95,0.9,0.8,0.85,0.9,0.85,0.8
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,6,261,0.8357,0.8125,0.9,0.9,0.8,0.8,0.7,0.8,0.8,0.8
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,7,207,0.8857,0.875,0.85,0.95,0.9,0.8,0.85,0.9,0.85,0.9
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,8,185,0.8786,0.8625,0.85,0.95,0.9,0.8,0.8,0.9,0.85,0.85
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,9,171,0.8786,0.8625,0.85,0.95,0.9,0.8,0.85,0.9,0.8,0.85
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,324,0.8821,0.8625,0.9,0.95,0.85,0.8,0.8,0.9,0.85,0.85
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,1,212,0.8607,0.8437,0.85,0.95,0.8,0.8,0.8,0.9,0.85,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,2,422,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,3,395,0.8786,0.8625,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.9
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,4,405,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,5,374,0.8286,0.8,0.9,0.9,0.8,0.7,0.7,0.8,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,6,448,0.8714,0.85,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,7,454,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,8,316,0.8571,0.8375,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,9,414,0.8357,0.8125,0.9,0.9,0.8,0.8,0.7,0.8,0.8,0.8
