add_model,workspace_dir,conversation_idx,session_index,delta_count,session_score,rubric_grounded_in_context,rubric_correct_attribution,rubric_correct_temporal_framing,rubric_no_contradictory_delta,rubric_truly_incremental,rubric_no_history_leakage_as_new,rubric_no_redundant_delta_items,rubric_covers_salient_session_updates,rubric_covers_salient_plans_and_state_changes
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,1,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,2,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,3,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,4,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,5,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,6,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,7,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,8,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,9,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,10,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,11,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,12,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,13,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,14,10,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,15,12,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,16,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,17,11,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,18,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,19,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,1,13,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,2,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,3,3,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,4,1,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,5,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,6,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,7,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,8,10,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,9,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,10,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,11,2,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,12,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,13,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,14,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,15,3,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,16,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,17,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,18,10,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,1,19,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,1,11,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,2,11,0.7778,0,1,1,1,1,1,1,0,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,3,12,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,4,16,0.8889,0,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,5,11,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,6,18,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,7,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,8,21,0.3333,0,1,1,1,0,0,0,0,0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,9,7,0.7778,0,1,1,1,1,1,1,0,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,10,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,11,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,12,11,0.7778,0,1,1,1,1,1,0,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,13,14,0.8889,0,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,14,9,0.8889,0,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,15,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,16,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,17,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,18,11,0.4444,0,1,1,1,0,0,0,0,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,19,14,0.3333,0,1,1,1,0,0,0,0,0
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,20,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,21,11,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,22,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,23,6,0.8889,0,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,24,10,0.7778,0,1,1,1,1,1,1,0,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,25,11,0.7778,0,1,1,1,1,1,1,0,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,26,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,27,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,28,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,29,10,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,30,10,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,31,11,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,2,32,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,1,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,2,11,0.8889,1,1,1,1,1,1,0,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,3,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,4,6,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,5,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,6,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,7,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,8,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,9,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,10,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,11,3,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,12,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,13,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,14,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,15,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,16,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,17,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,18,4,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,3,19,9,1.0,1,1,1,1,1,1,1,1,1
